annualized_return_3.0,annualized_vol_3.0,sharpe_ratio_3.0,max_drawdown_3.0,profile_id,period,annualized_return_420_static,annualized_vol_420_static,sharpe_ratio_420_static,max_drawdown_420_static,delta_return,delta_vol,delta_sharpe,delta_sigma,sigma_mid,max_drawdown_tolerance,abs_delta_sigma_3.0,abs_delta_sigma_420_static
0.017894,0.011246,0.379240,-0.005369,C1_S1,1y,0.017482,0.006764,0.566346,-0.001934,0.000412,0.004482,-0.187106,0.004482,0.057600,-0.050000,0.046354,0.050836
0.035417,0.012785,1.495485,-0.006023,C1_S1,3y,0.029170,0.008031,1.623008,-0.002662,0.006247,0.004754,-0.127523,0.004754,0.057600,-0.050000,0.044815,0.049569
0.036143,0.012012,1.471031,-0.006023,C1_S1,5y,0.030423,0.007671,1.579601,-0.003208,0.005720,0.004341,-0.108570,0.004341,0.057600,-0.050000,0.045588,0.049929
0.035342,0.013438,0.930945,-0.018454,C1_S1,10y,0.032314,0.008889,1.081129,-0.007475,0.003028,0.004549,-0.150184,0.004549,0.057600,-0.050000,0.044162,0.048711
0.037231,0.015069,0.833167,-0.018454,C1_S1,20y,0.034552,0.010253,0.973403,-0.007821,0.002680,0.004817,-0.140235,0.004817,0.057600,-0.050000,0.042531,0.047347
0.017340,0.005275,0.699453,-0.000828,C1_S2,1y,0.017482,0.006764,0.566346,-0.001934,-0.000142,-0.001489,0.133106,-0.001489,0.054000,-0.050000,0.048725,0.047236
0.027090,0.006473,1.702060,-0.001846,C1_S2,3y,0.029170,0.008031,1.623008,-0.002662,-0.002080,-0.001558,0.079052,-0.001558,0.054000,-0.050000,0.047527,0.045969
0.028519,0.006253,1.644170,-0.002391,C1_S2,5y,0.030423,0.007671,1.579601,-0.003208,-0.001905,-0.001418,0.064568,-0.001418,0.054000,-0.050000,0.047747,0.046329
0.031301,0.007441,1.166971,-0.005482,C1_S2,10y,0.032314,0.008889,1.081129,-0.007475,-0.001013,-0.001448,0.085843,-0.001448,0.054000,-0.050000,0.046559,0.045111
0.033654,0.008726,1.048966,-0.005781,C1_S2,20y,0.034552,0.010253,0.973403,-0.007821,-0.000898,-0.001526,0.075564,-0.001526,0.054000,-0.050000,0.045274,0.043747
0.017894,0.011246,0.379240,-0.005369,C1_S3,1y,0.017482,0.006764,0.566346,-0.001934,0.000412,0.004482,-0.187106,0.004482,0.050400,-0.050000,0.039154,0.043636
0.035417,0.012785,1.495485,-0.006023,C1_S3,3y,0.029170,0.008031,1.623008,-0.002662,0.006247,0.004754,-0.127523,0.004754,0.050400,-0.050000,0.037615,0.042369
0.036143,0.012012,1.471031,-0.006023,C1_S3,5y,0.030423,0.007671,1.579601,-0.003208,0.005720,0.004341,-0.108570,0.004341,0.050400,-0.050000,0.038388,0.042729
0.035342,0.013438,0.930945,-0.018454,C1_S3,10y,0.032314,0.008889,1.081129,-0.007475,0.003028,0.004549,-0.150184,0.004549,0.050400,-0.050000,0.036962,0.041511
0.037231,0.015069,0.833167,-0.018454,C1_S3,20y,0.034552,0.010253,0.973403,-0.007821,0.002680,0.004817,-0.140235,0.004817,0.050400,-0.050000,0.035331,0.040147
0.017759,0.009751,0.422463,-0.004143,C1_S4,1y,0.017411,0.006019,0.624657,-0.001381,0.000347,0.003732,-0.202194,0.003732,0.050400,-0.050000,0.040649,0.044381
0.033334,0.011193,1.526728,-0.004789,C1_S4,3y,0.028130,0.007249,1.658779,-0.002254,0.005204,0.003944,-0.132051,0.003944,0.050400,-0.050000,0.039207,0.043151
0.034236,0.010557,1.498133,-0.004840,C1_S4,5y,0.029471,0.006959,1.609077,-0.002799,0.004765,0.003598,-0.110945,0.003598,0.050400,-0.050000,0.039843,0.043441
0.034334,0.011900,0.969094,-0.013803,C1_S4,10y,0.031808,0.008158,1.120646,-0.006445,0.002527,0.003742,-0.151551,0.003742,0.050400,-0.050000,0.038500,0.042242
0.036340,0.013438,0.869732,-0.013803,C1_S4,20y,0.034103,0.009482,1.008611,-0.006801,0.002237,0.003957,-0.138879,0.003957,0.050400,-0.050000,0.036962,0.040918
0.017340,0.005275,0.699453,-0.000828,C1_S5,1y,0.017411,0.006019,0.624657,-0.001381,-0.000071,-0.000744,0.074796,-0.000744,0.046800,-0.050000,0.041525,0.040781
0.027090,0.006473,1.702060,-0.001846,C1_S5,3y,0.028130,0.007249,1.658779,-0.002254,-0.001040,-0.000776,0.043282,-0.000776,0.046800,-0.050000,0.040327,0.039551
0.028519,0.006253,1.644170,-0.002391,C1_S5,5y,0.029471,0.006959,1.609077,-0.002799,-0.000952,-0.000706,0.035092,-0.000706,0.046800,-0.050000,0.040547,0.039841
0.031301,0.007441,1.166971,-0.005482,C1_S5,10y,0.031808,0.008158,1.120646,-0.006445,-0.000507,-0.000717,0.046326,-0.000717,0.046800,-0.050000,0.039359,0.038642
0.033654,0.008726,1.048966,-0.005781,C1_S5,20y,0.034103,0.009482,1.008611,-0.006801,-0.000449,-0.000755,0.040355,-0.000755,0.046800,-0.050000,0.038074,0.037318
0.017340,0.005275,0.699453,-0.000828,C1_S6,1y,0.017340,0.005275,0.699453,-0.000828,0.000000,0.000000,0.000000,0.000000,0.043200,-0.050000,0.037925,0.037925
0.027090,0.006473,1.702060,-0.001846,C1_S6,3y,0.027090,0.006473,1.702060,-0.001846,0.000000,0.000000,0.000000,0.000000,0.043200,-0.050000,0.036727,0.036727
0.028519,0.006253,1.644170,-0.002391,C1_S6,5y,0.028519,0.006253,1.644170,-0.002391,0.000000,0.000000,0.000000,0.000000,0.043200,-0.050000,0.036947,0.036947
0.031301,0.007441,1.166971,-0.005482,C1_S6,10y,0.031301,0.007441,1.166971,-0.005482,0.000000,0.000000,0.000000,0.000000,0.043200,-0.050000,0.035759,0.035759
0.033654,0.008726,1.048966,-0.005781,C1_S6,20y,0.033654,0.008726,1.048966,-0.005781,0.000000,0.000000,0.000000,0.000000,0.043200,-0.050000,0.034474,0.034474
0.017482,0.006764,0.566346,-0.001934,C1_S7,1y,0.017340,0.005275,0.699453,-0.000828,0.000142,0.001489,-0.133106,0.001489,0.028800,-0.050000,0.022036,0.023525
0.029170,0.008031,1.623008,-0.002662,C1_S7,3y,0.027090,0.006473,1.702060,-0.001846,0.002080,0.001558,-0.079052,0.001558,0.028800,-0.050000,0.020769,0.022327
0.030423,0.007671,1.579601,-0.003208,C1_S7,5y,0.028519,0.006253,1.644170,-0.002391,0.001905,0.001418,-0.064568,0.001418,0.028800,-0.050000,0.021129,0.022547
0.032314,0.008889,1.081129,-0.007475,C1_S7,10y,0.031301,0.007441,1.166971,-0.005482,0.001013,0.001448,-0.085843,0.001448,0.028800,-0.050000,0.019911,0.021359
0.034552,0.010253,0.973403,-0.007821,C1_S7,20y,0.033654,0.008726,1.048966,-0.005781,0.000898,0.001526,-0.075564,0.001526,0.028800,-0.050000,0.018547,0.020074
0.134579,0.051965,2.203192,-0.004839,C2_S1,1y,0.055903,0.021504,1.913317,-0.002012,0.078676,0.030461,0.289875,0.030461,0.076800,-0.100000,0.024835,0.055296
0.107975,0.035183,2.477800,-0.008453,C2_S1,3y,0.061393,0.015690,2.779981,-0.004816,0.046582,0.019493,-0.302181,0.019493,0.076800,-0.100000,0.041617,0.061110
0.091002,0.033277,2.088778,-0.014956,C2_S1,5y,0.056219,0.015195,2.404702,-0.004816,0.034783,0.018082,-0.315924,0.018082,0.076800,-0.100000,0.043523,0.061605
0.071640,0.033549,1.401038,-0.023198,C2_S1,10y,0.048456,0.017155,1.439213,-0.021489,0.023184,0.016394,-0.038175,0.016394,0.076800,-0.100000,0.043251,0.059645
0.055925,0.040095,0.769471,-0.081333,C2_S1,20y,0.044513,0.019216,1.003518,-0.030633,0.011412,0.020879,-0.234046,0.020879,0.076800,-0.100000,0.036705,0.057584
0.175407,0.068100,2.218910,-0.006548,C2_S2,1y,0.055903,0.021504,1.913317,-0.002012,0.119504,0.046596,0.305592,0.046596,0.072000,-0.100000,0.003900,0.050496
0.130568,0.047120,2.292914,-0.010055,C2_S2,3y,0.061393,0.015690,2.779981,-0.004816,0.069175,0.031431,-0.487066,0.031431,0.072000,-0.100000,0.024880,0.056310
0.107546,0.044234,1.924521,-0.022812,C2_S2,5y,0.056219,0.015195,2.404702,-0.004816,0.051327,0.029039,-0.480181,0.029039,0.072000,-0.100000,0.027766,0.056805
0.082685,0.043598,1.324804,-0.031634,C2_S2,10y,0.048456,0.017155,1.439213,-0.021489,0.034229,0.026443,-0.114409,0.026443,0.072000,-0.100000,0.028402,0.054845
0.060917,0.052705,0.687291,-0.108946,C2_S2,20y,0.044513,0.019216,1.003518,-0.030633,0.016404,0.033489,-0.316227,0.033489,0.072000,-0.100000,0.019295,0.052784
0.175482,0.068248,2.215191,-0.006610,C2_S3,1y,0.055903,0.021504,1.913317,-0.002012,0.119579,0.046744,0.301874,0.046744,0.067200,-0.100000,0.001048,0.045696
0.131712,0.047051,2.317823,-0.010271,C2_S3,3y,0.061393,0.015690,2.779981,-0.004816,0.070320,0.031362,-0.462158,0.031362,0.067200,-0.100000,0.020149,0.051510
0.108571,0.044212,1.946383,-0.022522,C2_S3,5y,0.056219,0.015195,2.404702,-0.004816,0.052352,0.029017,-0.458318,0.029017,0.067200,-0.100000,0.022988,0.052005
0.083215,0.043716,1.332381,-0.031860,C2_S3,10y,0.048456,0.017155,1.439213,-0.021489,0.034759,0.026561,-0.106832,0.026561,0.067200,-0.100000,0.023484,0.050045
0.061381,0.052769,0.694722,-0.110587,C2_S3,20y,0.044513,0.019216,1.003518,-0.030633,0.016868,0.033553,-0.308795,0.033553,0.067200,-0.100000,0.014431,0.047984
0.114522,0.043946,2.187784,-0.003953,C2_S4,1y,0.055835,0.021039,1.951884,-0.001728,0.058687,0.022906,0.235900,0.022906,0.067200,-0.100000,0.023254,0.046161
0.096218,0.029494,2.584896,-0.007544,C2_S4,3y,0.060325,0.015168,2.807235,-0.004600,0.035893,0.014326,-0.222339,0.014326,0.067200,-0.100000,0.037706,0.052032
0.082262,0.028035,2.184157,-0.011404,C2_S4,5y,0.055247,0.014703,2.420996,-0.004600,0.027015,0.013332,-0.236839,0.013332,0.067200,-0.100000,0.039165,0.052497
0.065848,0.028727,1.440506,-0.018848,C2_S4,10y,0.047947,0.016546,1.461512,-0.019171,0.017901,0.012181,-0.021006,0.012181,0.067200,-0.100000,0.038473,0.050654
0.053134,0.034038,0.820910,-0.068032,C2_S4,20y,0.044065,0.018609,1.012185,-0.028669,0.009070,0.015429,-0.191275,0.015429,0.067200,-0.100000,0.033162,0.048591
0.075117,0.028150,2.109777,-0.002120,C2_S5,1y,0.055835,0.021039,1.951884,-0.001728,0.019282,0.007111,0.157893,0.007111,0.062400,-0.100000,0.034250,0.041361
0.071847,0.019018,2.807329,-0.005509,C2_S5,3y,0.060325,0.015168,2.807235,-0.004600,0.011522,0.003851,0.000094,0.003851,0.062400,-0.100000,0.043382,0.047232
0.063889,0.018324,2.389140,-0.005509,C2_S5,5y,0.055247,0.014703,2.420996,-0.004600,0.008642,0.003622,-0.031856,0.003622,0.062400,-0.100000,0.044076,0.047697
0.053743,0.019769,1.501839,-0.017221,C2_S5,10y,0.047947,0.016546,1.461512,-0.019171,0.005796,0.003223,0.040327,0.003223,0.062400,-0.100000,0.042631,0.045854
0.046977,0.022786,0.952005,-0.040562,C2_S5,20y,0.044065,0.018609,1.012185,-0.028669,0.002912,0.004176,-0.060180,0.004176,0.062400,-0.100000,0.039614,0.043791
0.196333,0.076460,2.217246,-0.007496,C2_S6,1y,0.036738,0.014631,1.550218,-0.002227,0.159595,0.061829,0.667028,0.061829,0.057600,-0.100000,0.018860,0.042969
0.143693,0.053121,2.258902,-0.011181,C2_S6,3y,0.047822,0.012644,2.440941,-0.003675,0.095871,0.040477,-0.182039,0.040477,0.057600,-0.100000,0.004479,0.044956
0.117400,0.049806,1.893788,-0.026768,C2_S6,5y,0.045671,0.012181,2.184306,-0.003675,0.071728,0.037626,-0.290518,0.037626,0.057600,-0.100000,0.007794,0.045419
0.088998,0.048952,1.304608,-0.036173,C2_S6,10y,0.041642,0.014050,1.302620,-0.018808,0.047356,0.034902,0.001987,0.034902,0.057600,-0.100000,0.008648,0.043550
0.064045,0.059266,0.667466,-0.124974,C2_S6,20y,0.040666,0.015563,1.005282,-0.021731,0.023380,0.043703,-0.337816,0.043703,0.057600,-0.100000,0.001666,0.042037
0.175557,0.068404,2.211234,-0.006672,C2_S7,1y,0.036738,0.014631,1.550218,-0.002227,0.138818,0.053774,0.661016,0.053774,0.038400,-0.100000,0.030004,0.023769
0.132857,0.046996,2.342127,-0.010488,C2_S7,3y,0.047822,0.012644,2.440941,-0.003675,0.085036,0.034352,-0.098814,0.034352,0.038400,-0.100000,0.008596,0.025756
0.109597,0.044203,1.967722,-0.022231,C2_S7,5y,0.045671,0.012181,2.184306,-0.003675,0.063925,0.032022,-0.216584,0.032022,0.038400,-0.100000,0.005803,0.026219
0.083745,0.043848,1.339492,-0.032086,C2_S7,10y,0.041642,0.014050,1.302620,-0.018808,0.042103,0.029798,0.036872,0.029798,0.038400,-0.100000,0.005448,0.024350
0.061845,0.052846,0.701956,-0.112226,C2_S7,20y,0.040666,0.015563,1.005282,-0.021731,0.021179,0.037283,-0.303325,0.037283,0.038400,-0.100000,0.014446,0.022837
0.205973,0.062317,2.837363,-0.004170,C3_S1,1y,0.111723,0.039518,2.365558,-0.007644,0.094250,0.022799,0.471805,0.022799,0.096000,-0.150000,0.033683,0.056482
0.116087,0.078811,1.230555,-0.063341,C3_S1,3y,0.068439,0.060504,0.859129,-0.055068,0.047648,0.018307,0.371426,0.018307,0.096000,-0.150000,0.017189,0.035496
0.073411,0.077958,0.716532,-0.106353,C3_S1,5y,0.041734,0.060468,0.408485,-0.081599,0.031678,0.017490,0.308048,0.017490,0.096000,-0.150000,0.018042,0.035532
0.079570,0.076024,0.752881,-0.106353,C3_S1,10y,0.055554,0.059013,0.569410,-0.081599,0.024016,0.017011,0.183471,0.017011,0.096000,-0.150000,0.019976,0.036987
0.085747,0.120175,0.544502,-0.379906,C3_S1,20y,0.071727,0.096145,0.517899,-0.300236,0.014020,0.024030,0.026603,0.024030,0.096000,-0.150000,0.024175,0.000145
0.196194,0.062203,2.709895,-0.006452,C3_S2,1y,0.111723,0.039518,2.365558,-0.007644,0.084471,0.022685,0.344337,0.022685,0.090000,-0.150000,0.027797,0.050482
0.106287,0.084391,1.049510,-0.075631,C3_S2,3y,0.068439,0.060504,0.859129,-0.055068,0.037848,0.023887,0.190382,0.023887,0.090000,-0.150000,0.005609,0.029496
0.063251,0.084127,0.556571,-0.125234,C3_S2,5y,0.041734,0.060468,0.408485,-0.081599,0.021518,0.023659,0.148087,0.023659,0.090000,-0.150000,0.005873,0.029532
0.075089,0.081739,0.655011,-0.125234,C3_S2,10y,0.055554,0.059013,0.569410,-0.081599,0.019535,0.022727,0.085601,0.022727,0.090000,-0.150000,0.008261,0.030987
0.086202,0.130695,0.514068,-0.409950,C3_S2,20y,0.071727,0.096145,0.517899,-0.300236,0.014475,0.034550,-0.003831,0.034550,0.090000,-0.150000,0.040695,0.006145
0.150467,0.043248,2.963065,-0.001825,C3_S3,1y,0.111723,0.039518,2.365558,-0.007644,0.038744,0.003730,0.597507,0.003730,0.084000,-0.150000,0.040752,0.044482
0.096763,0.051034,1.520128,-0.030445,C3_S3,3y,0.068439,0.060504,0.859129,-0.055068,0.028325,-0.009470,0.660999,-0.009470,0.084000,-0.150000,0.032966,0.023496
0.068117,0.049896,0.983697,-0.050832,C3_S3,5y,0.041734,0.060468,0.408485,-0.081599,0.026383,-0.010572,0.575212,-0.010572,0.084000,-0.150000,0.034104,0.023532
0.068878,0.049365,0.921875,-0.050832,C3_S3,10y,0.055554,0.059013,0.569410,-0.081599,0.013324,-0.009647,0.352464,-0.009647,0.084000,-0.150000,0.034635,0.024987
0.071897,0.077278,0.624270,-0.242531,C3_S3,20y,0.071727,0.096145,0.517899,-0.300236,0.000170,-0.018866,0.106372,-0.018866,0.084000,-0.150000,0.006722,0.012145
0.192257,0.057280,2.879084,-0.003659,C3_S4,1y,0.111629,0.039832,2.345037,-0.007559,0.080627,0.017448,0.534047,0.017448,0.084000,-0.150000,0.026720,0.044168
0.121471,0.058869,1.705384,-0.027699,C3_S4,3y,0.067349,0.060623,0.840722,-0.055822,0.054122,-0.001755,0.864662,-0.001755,0.084000,-0.150000,0.025131,0.023377
0.086405,0.056881,1.168376,-0.054210,C3_S4,5y,0.040755,0.060651,0.391951,-0.083101,0.045650,-0.003771,0.776425,-0.003771,0.084000,-0.150000,0.027119,0.023349
0.080992,0.056228,1.015782,-0.054210,C3_S4,10y,0.055025,0.059102,0.560193,-0.083101,0.025967,-0.002875,0.455589,-0.002875,0.084000,-0.150000,0.027772,0.024898
0.077851,0.084994,0.640245,-0.266951,C3_S4,20y,0.071246,0.096231,0.512870,-0.301447,0.006605,-0.011237,0.127375,-0.011237,0.084000,-0.150000,0.000994,0.012231
0.161881,0.047210,2.929548,-0.003010,C3_S5,1y,0.111629,0.039832,2.345037,-0.007559,0.050251,0.007378,0.584512,0.007378,0.078000,-0.150000,0.030790,0.038168
0.100099,0.058964,1.375418,-0.041328,C3_S5,3y,0.067349,0.060623,0.840722,-0.055822,0.032750,-0.001659,0.534695,-0.001659,0.078000,-0.150000,0.019036,0.017377
0.067776,0.058020,0.848459,-0.065164,C3_S5,5y,0.040755,0.060651,0.391951,-0.083101,0.027021,-0.002631,0.456507,-0.002631,0.078000,-0.150000,0.019980,0.017349
0.070947,0.057099,0.838953,-0.065164,C3_S5,10y,0.055025,0.059102,0.560193,-0.083101,0.015922,-0.002004,0.278760,-0.002004,0.078000,-0.150000,0.020901,0.018898
0.076128,0.090304,0.590405,-0.286628,C3_S5,20y,0.071246,0.096231,0.512870,-0.301447,0.004881,-0.005927,0.077535,-0.005927,0.078000,-0.150000,0.012304,0.018231
0.217655,0.067235,2.779806,-0.005318,C3_S6,1y,0.100705,0.033977,2.450235,-0.006327,0.116950,0.033259,0.329571,0.033259,0.072000,-0.150000,0.004765,0.038023
0.118081,0.087248,1.140014,-0.074675,C3_S6,3y,0.064154,0.051985,0.913231,-0.045066,0.053928,0.035263,0.226783,0.035263,0.072000,-0.150000,0.015248,0.020015
0.071799,0.086628,0.635507,-0.126025,C3_S6,5y,0.041145,0.051847,0.456272,-0.064189,0.030655,0.034781,0.179234,0.034781,0.072000,-0.150000,0.014628,0.020153
0.080870,0.084230,0.701780,-0.126025,C3_S6,10y,0.053034,0.050729,0.606162,-0.064189,0.027836,0.033501,0.095618,0.033501,0.072000,-0.150000,0.012230,0.021271
0.088886,0.133618,0.524298,-0.418502,C3_S6,20y,0.067162,0.082619,0.536135,-0.258095,0.021724,0.050998,-0.011836,0.050998,0.072000,-0.150000,0.061618,0.010619
0.171271,0.049996,2.931550,-0.002721,C3_S7,1y,0.100705,0.033977,2.450235,-0.006327,0.070566,0.016019,0.481315,0.016019,0.048000,-0.150000,0.001996,0.014023
0.109639,0.054651,1.637382,-0.028685,C3_S7,3y,0.064154,0.051985,0.913231,-0.045066,0.045486,0.002666,0.724151,0.002666,0.048000,-0.150000,0.006651,0.003985
0.077747,0.053091,1.096778,-0.052202,C3_S7,5y,0.041145,0.051847,0.456272,-0.064189,0.036603,0.001244,0.640506,0.001244,0.048000,-0.150000,0.005091,0.003847
0.075203,0.052583,0.980404,-0.052202,C3_S7,10y,0.053034,0.050729,0.606162,-0.064189,0.022169,0.001854,0.374242,0.001854,0.048000,-0.150000,0.004583,0.002729
0.075135,0.080900,0.637161,-0.251800,C3_S7,20y,0.067162,0.082619,0.536135,-0.258095,0.007974,-0.001719,0.101026,-0.001719,0.048000,-0.150000,0.032900,0.034619
0.219468,0.073151,2.581061,-0.008831,C4_S1,1y,0.175114,0.057614,2.608789,-0.007670,0.044353,0.015537,-0.027728,0.015537,0.115200,-0.200000,0.042049,0.057586
